#,Song ,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Valence (Happiness),Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
504, A Cautionary Tale,"Joseph Shirley,Ludwig Goransson",36,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,3:12,23,8,63,47,4,5,10,-23 db,126,E Minor,9A,4,2/15/22,4EDth8B1BvrKX3nR429rAn
148, A Diversion,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars: The Bad Batch - Vol. 1 (Episodes 1-8) [Original Soundtrack],6/25/21,3:31,14,55,10,95,13,4,20,-8 db,79,G#/Aâ™­ Major,4B,4,7/8/21,7j2WtMEabG1QGDq3k4eUC3
483, A Friend,Ludwig Goransson,51,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 2 (Chapters 13-16) [Original Score],12/18/20,3:52,32,19,5,62,3,3,15,-15 db,105,Câ™¯/Dâ™­ Minor,12A,4,12/18/20,17b96CYxEIeBsKukhw1Ivr
509, A Gift,"Joseph Shirley,Ludwig Goransson",36,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Book of Boba Fett: Vol. 2 (Chapters 5-7) [Original Soundtrack],2/11/22,2:46,10,1,89,92,4,4,7,-31 db,81,G Minor,6A,4,2/15/22,0yXyRTKtEGInc6Y2VfaeMn
289, A Jedi Leader,Kevin Kiner,23,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:06,25,53,9,62,9,3,24,-6 db,82,A Minor,8A,5,5/9/17,3WqNvBEtEbQn9rBo0oQfOB
323, A Long Ride Ahead,Michael Giacchino,34,"orchestral soundtrack, soundtrack",Easy listening,Rogue One: A Star Wars Story (Original Motion Picture Soundtrack),12/16/16,3:56,25,10,71,89,4,4,14,-19 db,100,B Minor,10A,4,12/17/16,0kUOsWcGBawleBxWv8pK4J
472, A Mandalorian and a Jedi,Ludwig Goransson,40,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Season 2 - Vol. 2 (Chapters 13-16) [Original Score],12/18/20,1:57,28,21,12,84,4,4,12,-21 db,177,C Major,8B,4,12/18/20,0epVWDK7i7amkYDkDCXTzg
318, A Master and an Apprentice,Kevin Kiner,25,"scorecore, soundtrack, video game music",Easy listening,Star Wars Rebels: Season Two (Original Soundtrack),9/30/16,1:07,33,32,93,92,4,3,9,-10 db,84,C Major,8B,4,5/9/17,6enRBhUD0yziMI1R4XDinn
559, A New Alliance,John Williams,34,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Last Jedi (Original Motion Picture Soundtrack),12/15/17,3:13,22,35,71,84,10,4,15,-12 db,148,F Minor,4A,3,12/15/17,2Q1MtRb1XIJ9bD5q2SIHtH
404, A New Day,Ludwig Goransson,36,"nordic soundtrack, orchestral soundtrack, soundtrack","Classical, Easy listening",The Mandalorian: Chapter 3 (Original Score),11/22/19,5:30,19,10,89,91,3,4,11,-26 db,80,D Major,10B,4,12/27/19,30aLBO8YHcnHY5vDJ8soPa
583, A New Home,John Williams,40,"orchestral soundtrack, soundtrack",Easy listening,Star Wars: The Rise of Skywalker (Original Motion Picture Soundtrack),12/18/19,1:47,19,8,96,95,6,4,7,-20 db,81,A#/Bâ™­ Major,6B,5,12/27/19,7hHm8Htcs9JJbVG8n4ulwk
